FrameID, Prepare, Placement, Opacity, Upload, Reproject, Symbol, Render, Total
531, 1131, 1833, 2103, 621, 881, 7078, 4428, 18077
532, 1134, 494, 25, 95, 946, 7359, 3920, 13974
533, 1095, 1766, 2153, 536, 844, 6838, 4954, 18188
534, 1179, 569, 29, 128, 2890, 6119, 4192, 15107
535, 1758, 1703, 2075, 665, 936, 5212, 6963, 19314
536, 1817, 507, 299, 622, 794, 4715, 8005, 16760
537, 1744, 4040, 2176, 1049, 806, 4838, 4368, 19023
538, 886, 568, 268, 1568, 970, 7077, 5570, 16909
539, 1793, 1942, 2056, 658, 899, 4698, 6720, 18768
540, 1565, 543, 262, 706, 820, 4935, 7900, 16733
541, 1920, 1610, 4562, 708, 936, 6279, 4298, 20314
542, 844, 480, 269, 417, 873, 5311, 4638, 12834
